time,commune_id_2cap,commune_name_2cap,provinceName_2cap,nguycosatlo,nguycoluquet
2025-10-22 00:00:00,1819,P. Phong Điền,TP. Huế,Trung bình,Trung bình
2025-10-22 00:00:00,1840,A Lưới 5,TP. Huế,Trung bình,Trung bình
2025-10-22 00:00:00,1841,A Lưới 1,TP. Huế,Trung bình,Trung bình
2025-10-22 00:00:00,1843,A Lưới 4,TP. Huế,Trung bình,Trung bình
2025-10-22 00:00:00,1844,Phú Lộc,TP. Huế,Trung bình,Trung bình
2025-10-22 00:00:00,1847,Chân Mây - Lăng Cô,TP. Huế,Trung bình,Trung bình
2025-10-22 00:00:00,1849,Khe Tre,TP. Huế,Trung bình,Trung bình
2025-10-22 00:00:00,1852,P. Hải Vân,TP. Đà Nẵng,Cao,Cao
2025-10-22 00:00:00,1853,P. Liên Chiểu,TP. Đà Nẵng,Trung bình,Trung bình
2025-10-22 01:00:00,1819,P. Phong Điền,TP. Huế,Trung bình,Trung bình
2025-10-22 01:00:00,1840,A Lưới 5,TP. Huế,Trung bình,Trung bình
2025-10-22 01:00:00,1841,A Lưới 1,TP. Huế,Trung bình,Trung bình
2025-10-22 01:00:00,1843,A Lưới 4,TP. Huế,Trung bình,Trung bình
2025-10-22 01:00:00,1844,Phú Lộc,TP. Huế,Cao,Cao
2025-10-22 01:00:00,1847,Chân Mây - Lăng Cô,TP. Huế,Trung bình,Trung bình
2025-10-22 01:00:00,1849,Khe Tre,TP. Huế,Trung bình,Trung bình
2025-10-22 01:00:00,1852,P. Hải Vân,TP. Đà Nẵng,Rất cao,Rất cao
2025-10-22 01:00:00,1853,P. Liên Chiểu,TP. Đà Nẵng,Cao,Cao
2025-10-22 01:00:00,1854,P. Hòa Khánh,TP. Đà Nẵng,Trung bình,Trung bình
2025-10-22 01:00:00,1862,P. An Khê,TP. Đà Nẵng,Trung bình,Trung bình
2025-10-22 01:00:00,1863,Bà Nà,TP. Đà Nẵng,Trung bình,Trung bình
2025-10-22 01:00:00,1884,Sông Vàng,TP. Đà Nẵng,Trung bình,Trung bình
2025-10-22 02:00:00,1819,P. Phong Điền,TP. Huế,Trung bình,Trung bình
2025-10-22 02:00:00,1840,A Lưới 5,TP. Huế,Trung bình,Trung bình
2025-10-22 02:00:00,1841,A Lưới 1,TP. Huế,Trung bình,Trung bình
2025-10-22 02:00:00,1843,A Lưới 4,TP. Huế,Trung bình,Trung bình
2025-10-22 02:00:00,1844,Phú Lộc,TP. Huế,Cao,Cao
2025-10-22 02:00:00,1849,Khe Tre,TP. Huế,Trung bình,Trung bình
2025-10-22 02:00:00,1852,P. Hải Vân,TP. Đà Nẵng,Trung bình,Trung bình
2025-10-22 03:00:00,1819,P. Phong Điền,TP. Huế,Trung bình,Trung bình
2025-10-22 03:00:00,1840,A Lưới 5,TP. Huế,Trung bình,Trung bình
2025-10-22 03:00:00,1841,A Lưới 1,TP. Huế,Trung bình,Trung bình
2025-10-22 03:00:00,1843,A Lưới 4,TP. Huế,Trung bình,Trung bình
2025-10-22 03:00:00,1844,Phú Lộc,TP. Huế,Cao,Cao
2025-10-22 03:00:00,1849,Khe Tre,TP. Huế,Trung bình,Trung bình
2025-10-22 03:00:00,1852,P. Hải Vân,TP. Đà Nẵng,Trung bình,Trung bình
2025-10-22 04:00:00,1819,P. Phong Điền,TP. Huế,Trung bình,Trung bình
2025-10-22 04:00:00,1840,A Lưới 5,TP. Huế,Trung bình,Trung bình
2025-10-22 04:00:00,1841,A Lưới 1,TP. Huế,Cao,Cao
2025-10-22 04:00:00,1843,A Lưới 4,TP. Huế,Trung bình,Trung bình
2025-10-22 04:00:00,1844,Phú Lộc,TP. Huế,Cao,Cao
2025-10-22 04:00:00,1849,Khe Tre,TP. Huế,Trung bình,Trung bình
2025-10-22 04:00:00,1852,P. Hải Vân,TP. Đà Nẵng,Cao,Cao
2025-10-22 05:00:00,1819,P. Phong Điền,TP. Huế,Trung bình,Trung bình
2025-10-22 05:00:00,1840,A Lưới 5,TP. Huế,Trung bình,Trung bình
2025-10-22 05:00:00,1841,A Lưới 1,TP. Huế,Cao,Cao
2025-10-22 05:00:00,1843,A Lưới 4,TP. Huế,Trung bình,Trung bình
2025-10-22 05:00:00,1844,Phú Lộc,TP. Huế,Cao,Cao
2025-10-22 05:00:00,1849,Khe Tre,TP. Huế,Trung bình,Trung bình
2025-10-22 05:00:00,1852,P. Hải Vân,TP. Đà Nẵng,Cao,Cao
2025-10-22 06:00:00,1819,P. Phong Điền,TP. Huế,Trung bình,Trung bình
2025-10-22 06:00:00,1840,A Lưới 5,TP. Huế,Trung bình,Trung bình
2025-10-22 06:00:00,1841,A Lưới 1,TP. Huế,Cao,Cao
2025-10-22 06:00:00,1843,A Lưới 4,TP. Huế,Trung bình,Trung bình
2025-10-22 06:00:00,1844,Phú Lộc,TP. Huế,Cao,Cao
2025-10-22 06:00:00,1849,Khe Tre,TP. Huế,Trung bình,Trung bình
2025-10-22 06:00:00,1852,P. Hải Vân,TP. Đà Nẵng,Cao,Cao
2025-10-22 07:00:00,1819,P. Phong Điền,TP. Huế,Trung bình,Trung bình
2025-10-22 07:00:00,1840,A Lưới 5,TP. Huế,Trung bình,Trung bình
2025-10-22 07:00:00,1841,A Lưới 1,TP. Huế,Cao,Cao
2025-10-22 07:00:00,1843,A Lưới 4,TP. Huế,Trung bình,Trung bình
